Year,Name,Link,Metrics,Venue,Human evaluation framework,Axes,sample #,annotator #,Significance test,Annotator agreement
2021,Partial Off-Policy Learning: Balance Accuracy and Diversity for Human-Oriented Image Captioning,Partial Off-Policy Learning: Balance Accuracy and Diversity for Human-Oriented Image Captioning,"BLEU, METEOR, CIDEr, mBLEU, Self-CIDEr",ICCV 2021,,,,,,
2021,Viewpoint-Agnostic Change Captioning With Cycle Consistency,Viewpoint-Agnostic Change Captioning With Cycle Consistency,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ICCV 2021,,,,,,
2021,Understanding and Evaluating Racial Biases in Image Captioning,Understanding and Evaluating Racial Biases in Image Captioning,"BLEU, CIDEr, SPICE",ICCV 2021,,,,,,
2021,Auto-Parsing Network for Image Captioning and Visual Question Answering,Auto-Parsing Network for Image Captioning and Visual Question Answering,"BLEU, METEOR, ROUGE, CIDEr, SPICE, CHAIR",ICCV 2021,,,,,,
2021,In Defense of Scene Graphs for Image Captioning,In Defense of Scene Graphs for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ICCV 2021,,,,,,
2021,TAP: Text-Aware Pre-Training for Text-VQA and Text-Caption,TAP: Text-Aware Pre-Training for Text-VQA and Text-Caption,CIDEr,CVPR 2021,,,,,,
2021,Human-Like Controllable Image Captioning With Verb-Specific Semantic Roles,Human-Like Controllable Image Captioning With Verb-Specific Semantic Roles,"BLEU, METEOR, ROUGE, CIDEr, SPICE, Verb PR, Div-n, Self-CIDEr",CVPR 2021,,,,,,
2021,Image Change Captioning by Learning From an Auxiliary Task,Image Change Captioning by Learning From an Auxiliary Task,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2021,,,,,,
2021,Towards Accurate Text-Based Image Captioning With Content Diversity Exploration,Towards Accurate Text-Based Image Captioning With Content Diversity Exploration,"BLEU, METEOR, ROUGE, CIDEr, SPICE, Div-n, Self-CIDEr",CVPR 2021,,,,,,
2021,Improving OCR-Based Image Captioning by Incorporating Geometrical Relationship,Improving OCR-Based Image Captioning by Incorporating Geometrical Relationship,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2021,,,,,,
2021,Scan2Cap: Context-Aware Dense Captioning in RGB-D Scans,Scan2Cap: Context-Aware Dense Captioning in RGB-D Scans,"BLEU, METEOR, ROUGE, CIDEr",CVPR 2021,,,,,,
2021,RSTNet: Captioning With Adaptive Attention on Visual and Non-Visual Words,RSTNet: Captioning With Adaptive Attention on Visual and Non-Visual Words,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2021,,,,,,
2021,VIVO: Visual vocabulary Pre-Training for Novel Object Captioning,VIVO: Visual vocabulary Pre-Training for Novel Object Captioning,"BLEU, METEOR, CIDEr, SPICE",AAAI 2021,,,,,,
2021,Improving Image Captioning by Leveraging Intra- and Inter-layer Global Representation in Transformer Network,Improving Image Captioning by Leveraging Intra- and Inter-layer Global Representation in Transformer Network,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2021,,,,,,
2021,Partially Non-Autoregressive Image Captioning,Partially Non-Autoregressive Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2021,comparative,turing test,200,8,no,no
2021,Memory-Augmented Image Captioning,Memory-Augmented Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2021,comparative,"naturalness, relevance, richness",200,8,no,no
2021,Image Captioning with Context-Aware Auxiliary Guidance,Image Captioning with Context-Aware Auxiliary Guidance,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2021,comparative,descriptivness,500,10,no,no
2021,Dual-level Collaborative Transformer for Image Captioning,Dual-level Collaborative Transformer for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2021,,,,,,
2021,Consensus Graph Representation Learning for Better Grounded Image Captioning,Consensus Graph Representation Learning for Better Grounded Image Captioning - AAAI,"BLEU, METEOR, CIDEr, SPICE, CHAIR, Object PR",AAAI 2021,comparative,more descriptive and captures more key visual concepts,100,5,no,no
2021,Object Relation Attention for Image Paragraph Captioning,Object Relation Attention for Image Paragraph Captioning,"BLEU, METEOR, CIDEr",AAAI 2021,,,,,,
2021,FIXMYPOSE: Pose Correctional Captioning and Retrieval,FIXMYPOSE: Pose Correctional Captioning and Retrieval,"BLEU, METEOR, ROUGE, CIDEr",AAAI 2021,comparative,"relevancy to image, fluency/grammar",100,,no,no
2020,Are Scene Graphs Good Enough to Improve Image Captioning?,Are Scene Graphs Good Enough to Improve Image Captioning? - ACL Anthology,"BLEU, ROUGE, CIDEr, SPICE",AACL 2020,,,,,,
2020,Cross-modal Coherence Modeling for Caption Generation,Cross-modal Coherence Modeling for Caption Generation - ACL Anthology,CIDEr,ACL 2020,scale rating,"good or not, quality, relevance",,,yes,no
2020,Improving Image Captioning with Better Use of Caption,Improving Image Captioning with Better Use of Caption - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ACL 2020,comparative,"which is better, fidelity, informativeness, fluency",150,3,no,no
2020,Feature Difference Makes Sense: A medical image captioning model exploiting feature difference and tag information,A medical image captioning model exploiting feature difference and tag information - ACL Anthology,"BLEU, ROUGE, CIDEr",ACL 2020,,,,,,
2020,Pragmatic Issue-Sensitive Image Captioning,Pragmatic Issue-Sensitive Image Captioning - ACL Anthology,CIDEr,EMNLP 2020,Answer question using caption,,110,105,yes,no
2020,Structural and Functional Decomposition for Personality Image Captioning in a Communication Game,Structural and Functional Decomposition for Personality Image Captioning in a Communication Game - ACL Anthology,"BLEU, ROUGE, CIDEr, SPICE",EMNLP 2020,comparative,"engaging, relevancy to image, related to input personality trait",50,12,yes,no
2020,Generating Image Descriptions via Sequential Cross-Modal Alignment Guided by Human Gaze,Generating Image Descriptions via Sequential Cross-Modal Alignment Guided by Human Gaze - ACL Anthology,"BLEU, CIDEr, SSD",EMNLP 2020,,,,,,
2020,Compare and Reweight: Distinctive Image Captioning Using Similar Images Sets,Compare and Reweight: Distinctive Image Captioning Using Similar Images Sets,"BLEU, METEOR, ROUGE, CIDEr, SPICE, CIDErBtw, retrieval",ECCV 2020,"comparative, retrieval","distinctivness, accuracy",50,20,yes,no
2020,TextCaps: a Dataset for Image Captioning with Reading Comprehension,TextCaps: a Dataset for Image Captioning with Reading Comprehension,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ECCV 2020,scale rating,,200,,no,no
2020,Towards Unique and Informative Captioning of Images,Towards Unique and Informative Captioning of Images,"BLEU, METEOR, CIDEr, SPICE, CHAIR, SPICE-U",ECCV 2020,,,,,,
2020,Fashion Captioning: Towards Generating Accurate Descriptions with Semantic Rewards,Fashion Captioning: Towards Generating Accurate Descriptions with Semantic Rewards,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ECCV 2020,comparative,attractiveness,200,5,no,yes
2020,Length-Controllable Image Captioning,Length-Controllable Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ECCV 2020,,,,,,
2020,Comprehensive Image Captioning via Scene Graph Decomposition,Comprehensive Image Captioning via Scene Graph Decomposition,"BLEU, METEOR, ROUGE, CIDEr, SPICE, mBLEU, Div-n, novel, distinct",ECCV 2020,,,,,,
2020,Finding It at Another Side: A Viewpoint-Adapted Matching Encoder for Change Captioning,Finding It at Another Side: A Viewpoint-Adapted Matching Encoder for Change Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ECCV 2020,,,,,,
2020,Captioning Images Taken by People Who Are Blind,Captioning Images Taken by People Who Are Blind,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ECCV 2020,,,,,,
2020,Learning to Generate Grounded Visual Captions without Localization Supervision,Learning to Generate Grounded Visual Captions without Localization Supervision,"BLEU, METEOR, CIDEr, SPICE",ECCV 2020,,,,,,
2020,Say As You Wish: Fine-Grained Control of Image Caption Generation With Abstract Scene Graphs,Say As You Wish: Fine-Grained Control of Image Caption Generation With Abstract Scene Graphs,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2020,,,,,,
2020,"Show, Edit and Tell: A Framework for Editing Image Captions","Show, Edit and Tell: A Framework for Editing Image Captions","BLEU, ROUGE, CIDEr, SPICE",CVPR 2020,,,,,,
2020,Normalized and Geometry-Aware Self-Attention Network for Image Captioning,Normalized and Geometry-Aware Self-Attention Network for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2020,,,,,,
2020,Better Captioning With Sequence-Level Exploration,Better Captioning With Sequence-Level Exploration,"METEOR, CIDEr, SPICE, Div-n, mBLEU",CVPR 2020,,,,,,
2020,Meshed-Memory Transformer for Image Captioning,Meshed-Memory Transformer for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2020,,,,,,
2020,X-Linear Attention Networks for Image Captioning,X-Linear Attention Networks for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2020,,,,,,
2020,More Grounded Image Captioning by Distilling Image-Text Matching Model,More Grounded Image Captioning by Distilling Image-Text Matching Model,"BLEU, METEOR, CIDEr, SPICE",CVPR 2020,,,,,,
2020,Transform and Tell: Entity-Aware News Image Captioning,Transform and Tell: Entity-Aware News Image Captioning,"BLEU, ROUGE, CIDEr, Named entities PR",CVPR 2020,,,,,,
2020,RATT: Recurrent Attention to Transient Tasks for Continual Image Captioning,RATT: Recurrent Attention to Transient Tasks for Continual Image Captioning,"BLEU, METEOR, CIDEr",Neurips 2020,comparative,best represents the image content,400,22,no,no
2020,Diverse Image Captioning with Context-Object Split Latent Spaces,Diverse Image Captioning with Context-Object Split Latent Spaces,"BLEU, METEOR, ROUGE, CIDEr, SPICE, Div-n, mBLEU, unique, novel",Neurips 2020,,,,,,
2020,Learning Long- and Short-Term User Literal-Preference with Multimodal Hierarchical Transformer Network for Personalized Image Caption,Learning Long- and Short-Term User Literal-Preference with Multimodal Hierarchical Transformer Network for Personalized Image Caption,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2020,,,,,,
2020,Unified Vision-Language Pre-Training for Image Captioning and VQA,Unified Vision-Language Pre-Training for Image Captioning and VQA,"BLEU, METEOR, CIDEr, SPICE",AAAI 2020,,,,,,
2020,MemCap: Memorizing Style Knowledge for Image Captioning,MemCap: Memorizing Style Knowledge for Image Captioning,"BLEU, METEOR, CIDEr, perplexity",AAAI 2020,,,,,,
2020,"Show, Recall, and Tell: Image Captioning with Recall Mechanism","Show, Recall, and Tell: Image Captioning with Recall Mechanism - AAAI","BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2020,,,,,,
2020,Interactive Dual Generative Adversarial Networks for Image Captioning,Interactive Dual Generative Adversarial Networks for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr",AAAI 2020,scale rating,"informativeness, fluency",100,3,no,no
2020,Joint Commonsense and Relation Reasoning for Image and Video Captioning,Joint Commonsense and Relation Reasoning for Image and Video Captioning,"BLEU, METEOR, CIDEr, SPICE",AAAI 2020,,,,,,
2020,Feature Deformation Meta-Networks in Image Captioning of Novel Objects,Feature Deformation Meta-Networks in Image Captioning of Novel Objects,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2020,comparative,which is better,,,no,no
2019,Informative Image Captioning with External Sources of Information,Informative Image Captioning with External Sources of Information - ACL Anthology,"CIDEr, Object PR",ACL 2019,comparative,"informativeness, correctness and fluency",2000,3,no,no
2019,Bridging by Word: Image Grounded vocabulary Construction for Visual Captioning,Bridging by Word: Image Grounded vocabulary Construction for Visual Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr",ACL 2019,,,,,,
2019,Compositional Generalization in Image Captioning,Compositional Generalization in Image Captioning - ACL Anthology,"BLEU, METEOR, CIDEr, SPICE",CONLL 2019,,,,,,
2019,Decoupled Box Proposal and Featurization with Ultrafine-Grained Semantic Labels Improve Image Captioning and Visual Question Answering,Decoupled Box Proposal and Featurization with Ultrafine-Grained Semantic Labels Improve Image Captioning and Visual Question Answering,"ROUGE, CIDEr, SPICE",EMNLP 2019,,,,,,
2019,Image Captioning with Very Scarce Supervised Data: Adversarial Semi-Supervised Learning Approach,Image Captioning with Very Scarce Supervised Data: Adversarial Semi-Supervised Learning Approach - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE",EMNLP 2019,,,,,,
2019,On the Role of Scene Graphs in Image Captioning,On the Role of Scene Graphs in Image Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE",EMNLP 2019,,,,,,
2019,Learning to Caption Images Through a Lifetime by Asking Questions,Learning to Caption Images Through a Lifetime by Asking Questions,"BLEU, METEOR, ROUGE, CIDEr, vocab",ICCV 2019,,,,,,
2019,Generating Diverse and Descriptive Image Captions Using Visual Paraphrases,Generating Diverse and Descriptive Image Captions Using Visual Paraphrases,"BLEU, CIDEr, SPICE, Yngve score, Tdiv, retrieval, Dist",ICCV 2019,,,,,,
2019,Exploring Overall Contextual Information for Image Captioning in Human-Like Cognitive Style,Exploring Overall Contextual Information for Image Captioning in Human-Like Cognitive Style,"BLEU, METEOR, ROUGE, CIDEr",ICCV 2019,scale rating,"fluency, relevance, diversity, descriptiveness",100,20,yes,no
2019,Hierarchy Parsing for Image Captioning,Hierarchy Parsing for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ICCV 2019,"comparative, yes/no questions",human like (yes/no),1000,12,no,no
2019,Learning to Collocate Neural Modules for Image Captioning,Learning to Collocate Neural Modules for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ICCV 2019,comparative,"fluency, descriptiveness, relevance to image",100,20,no,no
2019,Sequential Latent Spaces for Modeling the Intention During Diverse Image Captioning,Sequential Latent Spaces for Modeling the Intention During Diverse Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE, mBLEU, Div-n, novel, distinct",ICCV 2019,,,,,,
2019,Robust Change Captioning,Robust Change Captioning,"BLEU, METEOR, CIDEr, SPICE",ICCV 2019,,,,,,
2019,Attention on Attention for Image Captioning,Attention on Attention for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ICCV 2019,comparative,descriptiveness,100,30,no,no
2019,Towards Unsupervised Image Captioning With Shared Multimodal Embeddings,Towards Unsupervised Image Captioning With Shared Multimodal Embeddings,"BLEU, METEOR, ROUGE, CIDEr, SPICE, WMD",ICCV 2019,,,,,,
2019,Reflective Decoding Network for Image Captioning,Reflective Decoding Network for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ICCV 2019,,,,,,
2019,Human Attention in Image Captioning: Dataset and Analysis,Human Attention in Image Captioning: Dataset and Analysis,"BLEU, METEOR, ROUGE, CIDEr",ICCV 2019,,,,,,
2019,Joint Optimization for Cooperative Image Captioning,Joint Optimization for Cooperative Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE, retrieval",ICCV 2019,"scale rating, retrieval",,,,no,no
2019,Entangled Transformer for Image Captioning,Entangled Transformer for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ICCV 2019,,,,,,
2019,nocaps: novel object captioning at scale,nocaps: novel object captioning at scale,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ICCV 2019,,,,,,
2019,Unpaired Image Captioning via Scene Graph Alignments,Unpaired Image Captioning via Scene Graph Alignments,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ICCV 2019,,,,,,
2019,"Show, Control and Tell: A Framework for Generating Controllable and Grounded Captions","Show, Control and Tell: A Framework for Generating Controllable and Grounded Captions","BLEU, METEOR, ROUGE, CIDEr, SPICE, NW",CVPR 2019,,,,,,
2019,Intention Oriented Image Captions With Guiding Objects,Intention Oriented Image Captions With Guiding Objects,"METEOR, CIDEr, SPICE",CVPR 2019,,,,,,
2019,Adversarial Semantic Alignment for Improved Image Captions,Adversarial Semantic Alignment for Improved Image Captions,"METEOR, CIDEr, Semantic Score",CVPR 2019,"comparative, scale rating","which is better, turing test",,5,no,no
2019,Unsupervised Image Captioning,Unsupervised Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2019,,,,,,
2019,Describing Like Humans: On Diversity in Image Captioning,Describing Like Humans: On Diversity in Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE, vocab, Self-CIDEr, LSA, mBLEU",CVPR 2019,,,,,,
2019,MSCap: Multi-Style Image Captioning With Unpaired Stylized Text,MSCap: Multi-Style Image Captioning With Unpaired Stylized Text,"BLEU, METEOR, CIDEr, perplexity",CVPR 2019,scale rating,"fluency, relevancy, humor, romantic",50,10,no,no
2019,Context and Attribute Grounded Dense Captioning,Context and Attribute Grounded Dense Captioning,METEOR,CVPR 2019,,,,,,
2019,Dense Relational Captioning: Triple-Stream Networks for Relationship-Based Captioning,Dense Relational Captioning: Triple-Stream Networks for Relationship-Based Captioning,"METEOR, retrieval",CVPR 2019,,,,,,
2019,Self-Critical N-Step Training for Image Captioning,Self-Critical N-Step Training for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2019,,,,,,
2019,Look Back and Predict Forward in Image Captioning,Look Back and Predict Forward in Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2019,,,,,,
2019,Auto-Encoding Scene Graphs for Image Captioning,Auto-Encoding Scene Graphs for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2019,comparative,descriptiveness,100,30,no,no
2019,"Fast, Diverse and Accurate Image Captioning Guided by Part-Of-Speech","Fast, Diverse and Accurate Image Captioning Guided by Part-Of-Speech","BLEU, METEOR, ROUGE, CIDEr, SPICE, mBLEU, Div-n, novel, distinct",CVPR 2019,comparative,more appropriate image caption,,123,no,no
2019,"Good News, Everyone! Context Driven Entity-Aware Captioning for News Images","Good News, Everyone! Context Driven Entity-Aware Captioning for News Images","BLEU, METEOR, ROUGE, CIDEr, SPICE, Named entities PR",CVPR 2019,comparative,similarity to gt,106,20,no,yes
2019,Pointing Novel Objects in Image Captioning,Pointing Novel Objects in Image Captioning,"METEOR, CIDEr, SPICE, Object PR",CVPR 2019,,,,,,
2019,Engaging Image Captioning via Personality,Engaging Image Captioning via Personality,"BLEU, ROUGE, CIDEr, SPICE",CVPR 2019,yes/no questions,"fits image, fits personality (yes/no)",500,,no,no
2019,Image Captioning: Transforming Objects into Words,Image Captioning: Transforming Objects into Words,"BLEU, METEOR, ROUGE, CIDEr, SPICE",Neurips 2019,,,,,,
2019,Variational Structured Semantic Inference for Diverse Image Captioning,Variational Structured Semantic Inference for Diverse Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE, Div-n, mBLEU, unique, novel",Neurips 2019,,,,,,
2019,Adaptively Aligned Image Captioning via Adaptive Attention Time,Adaptively Aligned Image Captioning via Adaptive Attention Time,"BLEU, METEOR, ROUGE, CIDEr, SPICE",Neurips 2019,,,,,,
2019,Hierarchical Attention Network for Image Captioning,Hierarchical Attention Network for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2019,,,,,,
2019,Connecting Language to Images: A Progressive Attention-Guided Network for Simultaneous Image Captioning and Language Grounding,Connecting Language to Images: A Progressive Attention-Guided Network for Simultaneous Image Captioning and Language Grounding,"BLEU, METEOR, ROUGE, CIDEr",AAAI 2019,,,,,,
2019,Meta Learning for Image Captioning,Meta Learning for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE, retrieval",AAAI 2019,,,,,,
2019,Learning Object Context for Dense Captioning,Learning Object Context for Dense Captioning,METEOR,AAAI 2019,,,,,,
2019,Deliberate Attention Networks for Image Captioning,Deliberate Attention Networks for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2019,,,,,,
2019,Improving Image Captioning with Conditional Generative Adversarial Nets,Improving Image Captioning with Conditional Generative Adversarial Nets,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2019,,,,,,
2019,Unsupervised Stylish Image Description Generation via Domain Layer Norm,Unsupervised Stylish Image Description Generation via Domain Layer Norm,"SPICE, Noun PR",AAAI 2019,yes/no questions,relatedness,100,2,no,no
2018,"Conceptual Captions: A Cleaned, Hypernymed, Image Alt-text Dataset For Automatic Image Captioning","Conceptual Captions: A Cleaned, Hypernymed, Image Alt-text Dataset For Automatic Image Captioning - ACL Anthology","METEOR, ROUGE, CIDEr, SPICE",ACL 2018,yes/no questions,good or bad,1000,3,no,no
2018,Attacking Visual Language Grounding with Adversarial Examples: A Case Study on Neural Image Captioning,Attacking Visual Language Grounding with Adversarial Examples: A Case Study on Neural Image Captioning - ACL Anthology,"BLEU, METEOR, ROUGE",ACL 2018,,,,,,
2018,End-to-end Image Captioning Exploits Distributional Similarity in Multimodal Space,End-to-end Image Captioning Exploits Distributional Similarity in Multimodal Space - ACL Anthology,"BLEU, METEOR, CIDEr, SPICE",EMNLP 2018,,,,,,
2018,simNet: Stepwise Image-Topic Merging Network for Generating Detailed and Comprehensive Image Captions,simNet: Stepwise Image-Topic Merging Network for Generating Detailed and Comprehensive Image Captions - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE",EMNLP 2018,,,,,,
2018,Improving Reinforcement Learning Based Image Captioning with Natural Language Prior,Improving Reinforcement Learning Based Image Captioning with Natural Language Prior - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr",EMNLP 2018,comparative,which is better,200,,no,no
2018,Training for Diversity in Image Paragraph Captioning,Training for Diversity in Image Paragraph Captioning - ACL Anthology,"BLEU, METEOR, CIDEr",EMNLP 2018,,,,,,
2018,Entity-aware Image Caption Generation,Entity-aware Image Caption Generation - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, vocab, Named entities PR",EMNLP 2018,scale rating,relatedness,259,,no,no
2018,Object Counts! Bringing Explicit Detections Back into Image Captioning,Object Counts! Bringing Explicit Detections Back into Image Captioning - ACL Anthology,"BLEU, METEOR, CIDEr, SPICE",NAACL 2018,,,,,,
2018,Pragmatically Informative Image Captioning with Character-Level Inference,Pragmatically Informative Image Captioning with Character-Level Inference - ACL Anthology,retrieval,NAACL 2018,,,,,,
2018,Punny Captions: Witty Wordplay in Image Descriptions,Punny Captions: Witty Wordplay in Image Descriptions - ACL Anthology,,NAACL 2018,comparative,wittieness,100,9,no,no
2018,Boosted Attention: Leveraging Human Attention for Image Captioning,Boosted Attention: Leveraging Human Attention for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr",ECCV 2018,,,,,,
2018,"Show, Tell and Discriminate: Image Captioning by Self-retrieval with Partially Labeled Data","Show, Tell and Discriminate: Image Captioning by Self-retrieval with Partially Labeled Data","BLEU, METEOR, ROUGE, CIDEr, SPICE, retrieval, unique, novel",ECCV 2018,,,,,,
2018,Unpaired Image Captioning by Language Pivoting,Unpaired Image Captioning by Language Pivoting,"BLEU, METEOR, CIDEr, Self-BLEU",ECCV 2018,scale rating,"relevant, resemble",1200,,no,no
2018,Rethinking the Form of Latent States in Image Captioning,Rethinking the Form of Latent States in Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ECCV 2018,,,,,,
2018,Women also Snowboard: Overcoming Bias in Captioning Models,Women also Snowboard: Overcoming Bias in Captioning Models,"METEOR, Gender error, Gender ratio",ECCV 2018,,,,,,
2018,Recurrent Fusion Network for Image captioning,Recurrent Fusion Network for Image captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ECCV 2018,,,,,,
2018,``Factual'' or ``Emotional'': Stylized Image Captioning with Adaptive Learning and Attention,``Factual'' or ``Emotional'': Stylized Image Captioning with Adaptive Learning and Attention,"BLEU, METEOR, ROUGE, CIDEr",ECCV 2018,,,,,,
2018,Exploring Visual Relationship for Image Captioning,Exploring Visual Relationship for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ECCV 2018,"comparative, yes/no questions",resemble human-generated,1000,12,no,no
2018,Regularizing RNNs for Caption Generation by Reconstructing the Past With the Present,Regularizing RNNs for Caption Generation by Reconstructing the Past With the Present,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2018,,,,,,
2018,Discriminability Objective for Training Descriptive Captions,Discriminability Objective for Training Descriptive Captions,"BLEU, METEOR, ROUGE, CIDEr, SPICE, retrieval",CVPR 2018,retrieval,,,5,no,no
2018,SemStyle: Learning to Generate Stylised Image Captions Using Unaligned Text,SemStyle: Learning to Generate Stylised Image Captions Using Unaligned Text,"BLEU, METEOR, CIDEr, SPICE, perplexity",CVPR 2018,"scale rating, yes/no questions","descriptivenss, style",300,3,no,no
2018,GroupCap: Group-Based Image Captioning With Structured Relevance and Diversity Constraints,GroupCap: Group-Based Image Captioning With Structured Relevance and Diversity Constraints,"BLEU, METEOR, ROUGE, Named entities PR",CVPR 2018,,,,,,
2018,Convolutional Image Captioning,Convolutional Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2018,,,,,,
2018,Bottom-Up and Top-Down Attention for Image Captioning and Visual Question Answering,Bottom-Up and Top-Down Attention for Image Captioning and Visual Question Answering,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2018,,,,,,
2018,A Neural Compositional Paradigm for Image Captioning,A Neural Compositional Paradigm for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE, novel, unique, vocab, diversity edit dist",Neurips 2018,,,,,,
2018,Turbo Learning for CaptionBot and DrawingBot,Turbo Learning for CaptionBot and DrawingBot,"BLEU, METEOR, ROUGE, CIDEr, SPICE",Neurips 2018,,,,,,
2018,Partially-Supervised Image Captioning,Partially-Supervised Image Captioning,"METEOR, CIDEr, SPICE, Object PR",Neurips 2018,,,,,,
2018,Learning to Guide Decoding for Image Captioning,Learning to Guide Decoding for Image Captioning - AAAI,"BLEU, METEOR, ROUGE, CIDEr, vocab",AAAI 2018,,,,,,
2018,Temporal-Difference Learning With Sampling Baseline for Image Captioning,Temporal-Difference Learning With Sampling Baseline for Image Captioning - AAAI,"BLEU, METEOR, ROUGE, CIDEr",AAAI 2018,,,,,,
2018,Stack-Captioning: Coarse-to-Fine Learning for Image Captioning,Stack-Captioning: Coarse-to-Fine Learning for Image Captioning - AAAI,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2018,,,,,,
2017,Guided Open vocabulary Image Captioning with Constrained Beam Search,Guided Open vocabulary Image Captioning with Constrained Beam Search - ACL Anthology,"METEOR, CIDEr, SPICE, Object PR",EMNLP 2017,comparative,which is better,6000,3,no,no
2017,Speaking the Same Language: Matching Machine to Human Captions by Adversarial Training,Speaking the Same Language: Matching Machine to Human Captions by Adversarial Training,"METEOR, SPICE, Div-n, mBLEU, vocab, novel",ICCV 2017,comparative,which is better,,,no,yes
2017,Improved Image Captioning via Policy Gradient Optimization of SPIDEr,Improved Image Captioning via Policy Gradient Optimization of SPIDEr,"BLEU, METEOR, ROUGE, CIDEr",ICCV 2017,scale rating,how good,982,3,yes,no
2017,An Empirical Study of Language CNN for Image Captioning,An Empirical Study of Language CNN for Image Captioning,"BLEU, METEOR, CIDEr, SPICE",ICCV 2017,,,,,,
2017,Areas of Attention for Image Captioning,Areas of Attention for Image Captioning,"BLEU, METEOR, CIDEr",ICCV 2017,,,,,,
2017,Paying Attention to Descriptions Generated by Image Captioning Models,Paying Attention to Descriptions Generated by Image Captioning Models,"BLEU, METEOR, ROUGE, CIDEr",ICCV 2017,,,,,,
2017,Boosting Image Captioning With Attributes,Boosting Image Captioning With Attributes,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ICCV 2017,"comparative, yes/no questions",resemble human-generated,1000,12,no,no
2017,Towards Diverse and Natural Image Descriptions via a Conditional GAN,Towards Diverse and Natural Image Descriptions via a Conditional GAN,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ICCV 2017,comparative,which is better,100,30,no,no
